Market Code,Market Name,Province,DistrictO,Longitude,Latitude,Market Type
301,Base,Northern,RULINDO,29.8823797,-1.6510417,Rural
510,Birambo,Western,KARONGI,29.5164234,-2.1457196,Rural
508,Bugarama,Western,RUSIZI,29.0081662,-2.6987528,Border
213,Buhanda,Southern,RUHANGO,29.66200447,-2.227726951,Rural
212,Busasamana,Southern,NYANZA,29.7901511,-2.3870734,Urban
509,Bushenge,Western,NYAMASHEKE,28.9857709,-2.4462055,Rural
204,Busoro,Southern,NYANZA,29.9523716,-2.2856731,Rural
203,Butare,Southern,HUYE,29.7389267,-2.6044359,Urban
310,Byangabo,Northern,MUSANZE,29.5534258,-1.5603203,Urban
302,Byumba,Northern,GICUMBI,30.0673039,-1.5759765,Urban
503,CongoNil,Western,RUTSIRO,29.389121,-1.9671376,Rural
209,Gacurabwenge,Southern,KAMONYI,29.8892446,-1.9706438,Rural
106,Gahanga,Kigali City,KICUKIRO,30.1045132,-2.0269623,Rural
108,Gahoromani,Kigali City,KICUKIRO,30.2256622,-1.9846734,Urban
308,Gakenke,Northern,GAKENKE,29.742604,-1.6924232,Rural
211,Gasarenda,Southern,NYAMAGABE,29.4808533,-2.5030462,Rural
303,Gaseke,Northern,GICUMBI,29.550644,-1.7675141,Rural
210,Gashyushya,Southern,KAMONYI,29.8963546,-2.033621061,Rural
414,Gatore,Eastern,KIREHE,30.5878114,-2.2776201,Rural
207,Gikongoro,Southern,NYAMAGABE,29.5810568,-2.4720557,Rural
504,Gisenyi,Western,RUBAVU,29.2560996,-1.6990482,Urban
413,Intunga,Eastern,RWAMAGANA,30.351097,-1.9621198,Rural
410,Kabarondo,Eastern,KAYONZA,30.5595696,-2.0020229,Rural
502,Kabaya,Western,NGORORERO,29.5383807,-1.7444813,Rural
507,Kamembe,Western,RUSIZI,28.8965004,-2.4830531,Urban
208,Karambi,Southern,HUYE,29.4913,-2.483633,Rural
408,Karenge,Eastern,RWAMAGANA,30.3059719,-2.0836331,Rural
201,Kayenzi,Southern,KAMONYI,29.8424642,-1.9087704,Rural
506,Kibirizi,Western,KARONGI,29.407581,-2.059963,Rural
406,kibungo,Eastern,NGOMA,30.5749842,-2.1667463,Rural
513,Kibuye,Western,KARONGI,29.34778,-2.06028,Urban
101,Kicukiro,Kigali City,KICUKIRO,30.1043423,-1.9812858,Urban
200,KICUKIRO Center,Kigali City,KICUKIRO,30.0925195,-1.9689316,Urban
103,Kimironko,Kigali City,GASABO,30.1261802,-1.9498217,Urban
107,Kimisagara,Kigali City,NYARUGENGE,30.0544266,-1.9594289,Urban
307,kirambo,Northern,BURERA,29.8363861,-1.4949764,Rural
512,Kirambo1,Western,NYAMASHEKE,29.13633997,-2.332448499,Rural
415,Kiramuruzi,Eastern,GATSIBO,30.4077771,-1.7968153,Rural
216,Kizi,Southern,HUYE,29.58, -2.4958,Rural
505,Mahoko,Western,RUBAVU,29.3455289,-1.6987091,Rural
412,Matimba,Eastern,NYAGATARE,30.42427155,-1.117479535,Urban
215,Mugina,Southern,KAMONYI,29.95452,-2.11215,Rural
202,Muhanga,Southern,MUHANGA,29.7517879,-2.0869505,Urban
309,Muhondo,Northern,GAKENKE,29.8487989,-1.8300698,Rural
501,Mukamira,Western,NYABIHU,29.498176,-1.6138186,Rural
404,Mukarange,Eastern,KAYONZA,30.0795222,-1.5293944,Rural
105,Mulindi,Kigali City,GASABO,30.1814808,-1.9726163,Urban
306,Musanze,Northern,MUSANZE,29.6325193,-1.5007223,Urban
206,Musha,Southern,GISAGARA,30.3499986,-1.916663,Rural
205,Ndago,Southern,NYARUGURU,29.883,-2.417,Rural
514,Ngororero,Western,NGORORERO,29.6252858,-1.8637655,Urban
511,Nkora,Western,RUTSIRO,29.2980262,-1.8485597,Border
102,Nyabugogo,Kigali City,NYARUGENGE,30.0535238,-1.9366706,Urban
312,Nyagahinga,Northern,BURERA,30.1993381,-1.9774499,Rural
401,Nyagatare,Eastern,NYAGATARE,30.3308238,-1.2918132,Urban
405,Nyakarambi,Eastern,KIREHE,30.6709588,-2.2750552,Rural
409,Nyamata,Eastern,BUGESERA,30.144496,-2.2072299,Rural
104,Nyamirambo,Kigali City,NYARUGENGE,30.0510664,-1.9747681,Urban
305,Rugarama,Northern,GAKENKE,29.7381831,-1.4097653,Rural
214,Ruhango,Southern,RUHANGO,29.7127862,-1.8144421,Rural
407,Ruhuha,Eastern,BUGESERA,30.05049408,-2.304075558,Rural
403,Rukomo,Eastern,NYAGATARE,30.2531719,-1.3768385,Rural
304,Rushashi,Northern,GAKENKE,29.8566868,-1.7353741,Rural
402,Rwagitima,Eastern,GATSIBO,30.40538653,-1.671971668,Rural
411,Rwamagana,Eastern,RWAMAGANA,30.4386437,-1.9535133,Rural
311,Shyorongi,Northern,RULINDO,29.9726081,-1.857311,Rural
109,Ziniya,Kigali City,KICUKIRO,30.0992795,-1.9722628,Urban
